provider_id,first_name,last_name,specialty,npi
1,Michael,Kline,Dermatology,1608191526
2,Briana,Smith,Cardiology,1071802923
3,Hannah,Murray,OB/GYN,2824648045
4,Joshua,Smith,Internal Medicine,8931041676
5,Gail,Perez,Family Medicine,9286183408
6,Dana,Booker,OB/GYN,5543637364
7,David,Crawford,Orthopedics,4843802517
8,Crystal,Webb,Family Medicine,0761185904
9,Zachary,Moss,Orthopedics,8496437029
10,Carla,Schmidt,OB/GYN,1981461416
11,Stephanie,Short,Psychiatry,2326347361
12,Pamela,Perkins,Internal Medicine,1126289617
13,Gregory,Haney,Cardiology,8197778638
14,Daniel,Harris,Neurology,7645175581
15,Caitlin,Phelps,Dermatology,0695802907
16,Michael,Howell,Pediatrics,0349901890
17,Michael,Higgins,Neurology,2031350176
18,Randy,Martin,Dermatology,7300707337
19,Kevin,Jensen,Family Medicine,9604287417
20,Anthony,Hodges,Dermatology,8955676856
21,Rodney,Shelton,Internal Medicine,0627295752
22,Mark,Neal,Endocrinology,6972729941
23,Robert,Hill,OB/GYN,7913684027
24,Jeremy,Ortiz,Neurology,3492203972
25,Brittany,Lucas,Cardiology,8432188264
26,Jason,Rivera,Internal Medicine,0638483815
27,Matthew,Chavez,Family Medicine,7862594668
28,Thomas,Adams,Family Medicine,4128945731
29,Belinda,Lane,Psychiatry,6261219588
30,Laura,Cruz,Family Medicine,4817953434
31,Taylor,Estrada,Neurology,3027631115
32,Gary,Martinez,Family Medicine,5016689165
33,Alejandra,Mueller,Neurology,2877295304
34,Kelly,Conner,Internal Medicine,1457371432
35,James,Hill,Endocrinology,0808861559
36,Kimberly,Thompson,Pediatrics,0116196748
37,David,Hopkins,Psychiatry,0723645641
38,Riley,Salazar,Family Medicine,7798034124
39,Felicia,Lewis,Internal Medicine,7695952732
40,Gregory,Thomas,Family Medicine,6371721661
41,Sarah,Costa,Orthopedics,0379671470
42,Alexandria,Acosta,Endocrinology,9707889607
43,Megan,Johnson,Family Medicine,7502753878
44,Bryan,Simpson,Cardiology,9257214752
45,Kim,Hernandez,Internal Medicine,2748742189
46,Debra,Patel,OB/GYN,9282193873
47,Russell,Carter,Endocrinology,7998411467
48,Allen,Vargas,Internal Medicine,2868599913
49,Chad,Smith,Orthopedics,3351251937
50,Justin,Cain,Neurology,5218022461
